Name;Platform;Year;Genre;Sales_NA;Sales_EU;Sales_JP;Sales_Others
'98 Koshien;PS;1998;Sports;150;100;120;30
.hack//G.U. Vol.1//Rebirth;PS2;2006;Role-Playing;0;0;170;0
.hack//G.U. Vol.2//Reminisce;PS2;2006;Role-Playing;110;90;0;30
.hack//G.U. Vol.2//Reminisce (jp sales);PS2;2006;Role-Playing;0;0;160;0
.hack//G.U. Vol.3//Redemption;PS2;2007;Role-Playing;0;0;170;0
.hack//Infection Part 1;PS2;2002;Role-Playing;490;380;260;130
.hack//Link;PSP;2010;Role-Playing;0;0;140;0
.hack//Mutation Part 2;PS2;2002;Role-Playing;230;180;200;60
.hack//Outbreak Part 3;PS2;2002;Role-Playing;140;110;170;40
.hack//Quarantine Part 4: The Final Chapter;PS2;2003;Role-Playing;90;70;0;20
.hack: Sekai no Mukou ni + Versus;PS3;2012;Action;0;0;30;0
007 Racing;PS;2000;Racing;300;200;0;30
007: Quantum of Solace;DS;2008;Action;110;10;0;10
007: Quantum of Solace;PC;2008;Action;10;10;0;0
007: Quantum of Solace;X360;2008;Action;820;520;10;140
007: Quantum of Solace;Wii;2008;Action;300;290;10;70
007: Quantum of Solace;PS3;2008;Action;430;520;20;200
007: Quantum of Solace;PS2;2008;Action;170;0;0;260
007: The World is not Enough;PS;2000;Action;510;350;0;60
007: The World is not Enough;N64;2000;Action;1130;380;20;30
007: Tomorrow Never Dies;PS;1999;Shooter;1720;1330;0;160
1 vs. 100;DS;2008;Misc;80;0;0;10
1/2 Summer +;PSP;2013;Adventure;0;0;10;0
10 Minute Solution;Wii;2010;Sports;60;10;0;10
100 All-Time Favorites;DS;2009;Puzzle;350;120;0;40
100 Classic Books;DS;2008;Misc;130;520;0;20
100 Classic Games;DS;2011;Misc;0;30;0;0
1000 Cooking Recipes from ELLE à table;DS;2010;Misc;0;20;0;0
1001 Touch Games;DS;2011;Action;120;170;0;40
101-in-1 Explosive Megamix;DS;2008;Puzzle;50;130;0;20
101-in-1 Party Megamix Wii;Wii;2009;Misc;190;10;0;20
101-in-1 Sports Megamix;DS;2010;Sports;80;0;0;10
101-in-1 Sports Party Megamix;Wii;2010;Sports;20;0;0;0
1080°: TenEighty Snowboarding;N64;1998;Sports;1250;610;130;50
11eyes: CrossOver;PSP;2010;Adventure;0;0;20;0
11eyes: CrossOver;X360;2009;Adventure;0;0;20;0
12-Sai. Honto no Kimochi;3DS;2014;Adventure;0;0;70;0
12-Sai. Koisuru Diary;3DS;2016;Adventure;0;0;40;0
12Riven: The Psi-Climinal of Integral;PS2;2008;Adventure;0;0;40;0
15 Days;PC;2009;Adventure;0;10;0;0
1701 A.D.;PC;2006;Simulation;0;250;0;50
18 Wheeler: American Pro Trucker;GC;2002;Racing;90;20;0;0
18 Wheeler: American Pro Trucker;PS2;2001;Racing;200;150;0;50
18 Wheels of Steel: Extreme Trucker;PC;2009;Racing;0;20;0;0
18 Wheels of Steel: Extreme Trucker 2;PC;2011;Racing;80;20;0;10
187: Ride or Die;PS2;2005;Racing;70;60;0;20
187: Ride or Die;XB;2005;Racing;50;10;0;0
1942;NES;1985;Shooter;650;140;210;0
2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race;GBA;2005;Racing;90;30;0;0
2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures;GBA;2007;Action;1260;470;0;30
2 Games in 1: Disney Princess & The Lion King;GBA;2004;Misc;1250;460;0;30
2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2;GBA;2005;Action;220;80;0;10
2 Games in 1: Sonic Advance & ChuChu Rocket!;GBA;2005;Misc;1310;490;0;30
2 Games in 1: Sonic Battle & ChuChu Rocket!;GBA;2005;Misc;440;160;0;10
2 Games in 1: Sonic Pinball Party & Columns Crown;GBA;2005;Misc;40;20;0;0
2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild;GBA;2005;Platform;330;120;0;10
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe;X360;2013;Misc;90;10;0;10
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe;XB;2004;Misc;400;110;0;20
2-in-1 Game Pack: Spider-Man & Spider-Man 2;GBA;2005;Platform;60;20;0;0
2002 FIFA World Cup;GC;2002;Sports;40;10;0;0
2002 FIFA World Cup;XB;2002;Sports;140;40;0;10
2002 FIFA World Cup;PS2;2002;Sports;210;170;160;60
2010 FIFA World Cup South Africa;Wii;2010;Sports;230;150;10;40
2010 FIFA World Cup South Africa;X360;2010;Sports;320;430;20;90
2010 FIFA World Cup South Africa;PS3;2010;Sports;300;640;70;220
2010 FIFA World Cup South Africa;PSP;2010;Sports;90;240;30;120
2014 FIFA World Cup Brazil;PS3;2014;Sports;150;390;10;160
2014 FIFA World Cup Brazil;X360;2014;Sports;140;280;0;40
24: The Game;PS2;2006;Adventure;150;120;0;40
25 to Life;XB;2006;Shooter;120;40;0;10
25 to Life;PS2;2006;Shooter;350;10;0;60
2Xtreme;PS;1996;Sports;1150;200;0;50
3 in 1: Solitaire, Mahjong & Tangram;DS;2010;Misc;0;70;0;10
300: March to Glory;PSP;2007;Action;270;80;0;60
3D Baseball;PS;1996;Sports;20;10;0;0
3D Dot Game Heroes;PS3;2009;Role-Playing;360;120;30;70
3D Lemmings;PS;1995;Puzzle;30;20;0;0
3D Tank Warfare Simulator Panzer Front;PS;1999;Simulation;60;40;0;10
3DS Classic Collection;3DS;2016;Misc;20;0;0;0
3Xtreme;PS;1999;Action;500;340;0;60
3rd Super Robot Wars Z Jigoku Hen;PS3;2014;Role-Playing;0;0;230;0
3rd Super Robot Wars Z Jigoku Hen;PSV;2014;Role-Playing;0;0;190;0
3rd Super Robot Wars Z: Tengoku-Hen;PSV;2015;Action;0;0;190;0
3rd Super Robot Wars Z: Tengoku-Hen;PS3;2015;Action;0;0;150;0
4 Elements;PC;2009;Puzzle;0;40;0;10
4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship;DS;2005;Misc;110;0;0;10
4 Nin uchi Mahjong;NES;1984;Misc;0;0;1450;0
40 Winks;PS;1999;Platform;170;120;0;20
428: Fuusa Sareta Shibuya de;PS3;2009;Adventure;0;0;20;0
428: Fuusa Sareta Shibuya de;Wii;2008;Adventure;0;0;130;0
428: Fuusa Sareta Shibuya de;PSP;2009;Adventure;0;0;40;0
4x4 EVO 2;GC;2002;Racing;110;30;0;0
4x4 EVO 2;XB;2001;Racing;180;50;0;10
4x4 Evolution;PS2;2001;Racing;160;120;0;40
50 Cent: Blood on the Sand;X360;2009;Shooter;120;70;0;20
50 Cent: Blood on the Sand;PS3;2009;Shooter;100;60;10;30
50 Cent: Bulletproof;PSP;2006;Action;80;0;0;10
50 Cent: Bulletproof;XB;2005;Action;330;100;0;20
50 Cent: Bulletproof;PS2;2005;Action;850;760;0;160
50 Classic Games;DS;2009;Misc;520;0;0;40
50 Classic Games;3DS;2012;Misc;0;20;0;0
64 de Hakken! Tamagotchi Minna de Tamagotchi World;N64;1997;Misc;0;0;220;0
7 Days to Die;XOne;2016;Action;20;20;0;0
7 Days to Die;PS4;2016;Action;30;70;0;20
7 Roses: A Darkness Rises;PC;2015;Misc;0;20;0;0
7 Wonders II;DS;2009;Puzzle;140;150;0;30
7 Wonders of the Ancient World;PSP;2007;Puzzle;70;0;0;10
7 Wonders of the Ancient World;DS;2007;Puzzle;100;10;0;10
7 Wonders: Treasures of Seven;DS;2011;Puzzle;20;30;0;10
7th Dragon;DS;2009;Role-Playing;0;0;140;0
7th Dragon 2020;PSP;2011;Role-Playing;0;0;200;0
7th Dragon 2020-II;PSP;2013;Role-Playing;0;0;130;0
7th Dragon III Code: VFD;3DS;2015;Role-Playing;30;0;120;0
99 no Namida;DS;2008;Adventure;0;0;40;0
999: Nine Hours, Nine Persons, Nine Doors;DS;2009;Adventure;370;0;30;30
A Boy and His Blob;Wii;2009;Platform;190;20;0;20
A Bug's Life;PS;1998;Platform;1960;720;0;110
A Bug's Life;N64;1998;Platform;490;130;0;10
A Collection of Activision Classic Games for the Atari 2600;PS;1998;Misc;760;520;0;90
A Collection of Classic Games from the Intellivision;PS;1999;Misc;170;120;0;20
A Game of Thrones: Genesis;PC;2011;Strategy;0;30;0;10
A Good Librarian Like a Good Shepherd: Library Party;PSV;2015;Action;0;0;30;0
A New Beginning;PC;2010;Adventure;0;50;0;10
A Ressha de Gyoukou 2001;PS2;2001;Simulation;0;0;30;0
A Ressha de Ikou DS;DS;2009;Simulation;0;0;40;0
A Vampyre Story;PC;2008;Adventure;0;10;0;0
A Witch's Tale;DS;2009;Role-Playing;80;0;30;10
A llI S.V.: A Ressha de Gyoukou 3 Super Version;SNES;1995;Simulation;0;0;60;0
A-Train;PS;1995;Simulation;20;10;40;10
A-Train 6;PS2;2000;Strategy;0;0;60;0
A-Train: City Simulator;3DS;2014;Simulation;0;0;60;0
A. IV Evolution: A Ressha de Ikou 4;PS;1994;Strategy;0;0;240;20
A.C.E.: Another Century's Episode;PS2;2005;Simulation;0;0;260;0
A.C.E.: Another Century's Episode 2;PS2;2006;Simulation;0;0;180;0
A.C.E.: Another Century's Episode 3: The Final;PS2;2007;Simulation;0;0;260;0
A.C.E.: Another Century's Episode Portable;PSP;2011;Simulation;0;0;120;0
A.C.E.: Another Century's Episode R;PS3;2010;Simulation;0;0;260;0
ABBA: You Can Dance;Wii;2011;Misc;190;500;0;110
AC/DC LIVE: Rock Band Track Pack;X360;2008;Misc;210;0;0;20
AC/DC LIVE: Rock Band Track Pack;Wii;2008;Misc;250;0;0;20
AC/DC LIVE: Rock Band Track Pack;PS2;2008;Misc;80;60;0;20
AC/DC LIVE: Rock Band Track Pack;PS3;2008;Misc;210;10;0;20
AIR;PSP;2007;Adventure;0;0;20;0
AKB1/149: Love Election;PSP;2012;Adventure;0;0;230;0
AKB1/149: Love Election;PS3;2013;Adventure;0;0;80;0
AKB1/149: Love Election;PSV;2012;Adventure;0;0;70;0
AKB1/48: Idol to Guam de Koishitara...;PSP;2011;Misc;0;0;400;0
AKB1/48: Idol to Koishitara...;PSP;2010;Misc;0;0;410;0
AKB48+Me;3DS;2012;Action;0;0;110;0
AMF Bowling 2004;XB;2003;Sports;220;60;0;10
AMF Bowling Pinbusters!;DS;2008;Sports;60;0;0;0
AMF Bowling Pinbusters!;Wii;2007;Sports;850;0;0;70
AMF Bowling World Lanes;Wii;2008;Sports;330;0;0;30
AMF Xtreme Bowling;PS2;2006;Sports;10;10;0;0
AMNESIA World;PSV;2014;Adventure;0;0;30;0
APB Reloaded;PC;2011;Role-Playing;20;10;0;0
ASH: Archaic Sealed Heat;DS;2007;Role-Playing;0;0;120;0
ATV Offroad Fury;PS2;2001;Racing;2070;260;0;80
ATV Offroad Fury 2;PS2;2002;Racing;1920;200;0;60
ATV Offroad Fury 3;PS2;2004;Racing;1000;40;0;160
ATV Offroad Fury Pro;PSP;2006;Racing;370;40;0;50
ATV Offroad Fury: Blazin' Trails;PSP;2005;Racing;530;0;0;40
ATV Quad Kings;DS;2010;Racing;100;0;0;10
ATV Quad Kings;Wii;2009;Racing;210;0;0;10
ATV Quad Power Racing 2;GC;2003;Racing;220;60;0;10
ATV Quad Power Racing 2;XB;2003;Racing;360;70;0;10
ATV Quad Power Racing 2;PS2;2003;Racing;410;320;0;110
ATV/Monster Truck Mayhem;DS;2007;Racing;330;0;0;20
ATV: Quad Frenzy;DS;2005;Racing;100;0;0;10
ATV: Quad Power Racing;PS;2000;Racing;580;390;0;70
ATV: Quad Power Racing;GBA;2002;Racing;180;70;0;0
Aa Megami-samaa;PS2;2007;Adventure;0;0;10;0
Abunai: Koi no Sousa Shitsu;PSV;2015;Action;0;0;20;0
Abunai: Koi no Sousa Shitsu;PSP;2012;Action;0;0;10;0
Academy of Champions: Soccer;Wii;2009;Sports;100;20;0;10
Accel World: Ginyoku no Kakusei;PS3;2012;Adventure;0;0;30;0
Accel World: Ginyoku no Kakusei;PSP;2012;Adventure;0;0;30;0
Accel World: Kasoku no Chouten;PSP;2013;Adventure;0;0;10;0
Accel World: Kasoku no Chouten;PS3;2013;Adventure;0;0;20;0
Ace Attorney 6;3DS;2016;Adventure;0;0;270;0
Ace Attorney Investigations 2;DS;2011;Adventure;0;0;260;0
Ace Attorney Investigations: Miles Edgeworth;DS;2009;Adventure;270;150;300;40
Ace Combat 04: Shattered Skies;PS2;2001;Simulation;2060;560;380;170
Ace Combat 2;PS;1997;Simulation;160;110;560;60
Ace Combat 3: Electrosphere;PS;1999;Simulation;220;150;400;50
Ace Combat 5: The Unsung War;PS2;2004;Simulation;880;340;320;180
Ace Combat 6: Fires of Liberation;X360;2007;Simulation;690;40;220;60
Ace Combat X: Skies of Deception;PSP;2006;Simulation;370;310;120;190
Ace Combat Zero: The Belkan War;PS2;2006;Simulation;150;120;200;40
Ace Combat: Assault Horizon;X360;2011;Action;300;120;30;40
Ace Combat: Assault Horizon;PS3;2011;Action;300;160;220;70
Ace Combat: Assault Horizon Legacy;3DS;2011;Simulation;100;60;80;10
Ace Combat: Joint Assault;PSP;2010;Simulation;60;50;150;30
Achtung Panzer: Kharkov 1943;PC;2010;Strategy;0;10;0;0
Act of Aggression;PC;2015;Strategy;0;10;0;0
Action Bass;PS;2000;Action;640;430;0;70
Action Force;2600;1982;Action;500;30;0;10
Active Health with Carol Vorderman;DS;2009;Sports;0;180;0;10
Active Life Explorer;Wii;2010;Sports;140;0;0;10
Active Life: Extreme Challenge;Wii;2009;Sports;150;270;0;60
Active Life: Magical Carnival;Wii;2011;Misc;40;10;0;0
Active Life: Outdoor Challenge;Wii;2008;Sports;790;440;190;140
Activision Anthology;PS2;2002;Misc;250;190;0;60
Activision Anthology;GBA;2003;Misc;30;10;0;0
Activision Hits: Remixed;PSP;2006;Misc;50;0;0;0
Actua Tennis;PS;1997;Sports;70;50;0;10
Adidas Power Soccer;PS;1996;Sports;20;10;0;0
Adidas Power Soccer 98;PS;1998;Sports;10;10;0;0
Adrenalin Misfits;X360;2010;Racing;120;20;0;10
Advance Guardian Heroes;GBA;2004;Role-Playing;30;10;0;0
Advance Wars;GBA;2001;Strategy;500;190;0;10
Advance Wars 2: Black Hole Rising;GBA;2003;Strategy;470;170;0;10
Advance Wars: Dual Strike;DS;2005;Strategy;300;30;40;30
Advent Rising;XB;2005;Action;100;30;0;0
Adventure Island;NES;1986;Platform;0;0;1050;0
Adventure Time: Explore the Dungeon Because I Don't Know!;PS3;2013;Action;20;20;0;10
Adventure Time: Explore the Dungeon Because I Don't Know!;3DS;2013;Action;100;30;0;10
Adventure Time: Explore the Dungeon Because I Don't Know!;X360;2013;Action;30;40;0;10
Adventure Time: Explore the Dungeon Because I Don't Know!;WiiU;2013;Action;20;10;0;0
